row	start_step_inclusive	end_step_exclusive	logged_records	median_training_loss
dense-flop-matched	0	1000	100	4.81227882391465
dense-flop-matched	1000	2000	100	3.5406618860253998
dense-flop-matched	2000	3000	100	3.292422085939415
dense-flop-matched	3000	4000	100	3.100550527654531
dense-flop-matched	4000	5000	100	3.0654528287358502
dense-flop-matched	5000	6000	100	3.0249769138815052
dense-flop-matched	6000	7000	100	2.9744705943630256
dense-flop-matched	7000	8000	100	2.9407106520271364
dense-flop-matched	8000	9000	100	2.8227495079335267
dense-flop-matched	9000	10000	100	2.9102057454691836
dense-flop-matched	10000	11000	100	2.8518462205263004
dense-flop-matched	11000	12000	100	2.8614701654764727
dense-flop-matched	12000	13000	100	2.8394392946009903
dense-flop-matched	13000	14000	100	2.85429218548455
dense-flop-matched	14000	15000	100	2.7995704043334357
dense-flop-matched	15000	16000	100	2.8193189924807864
dense-flop-matched	16000	17000	100	2.7920968761353935
dense-flop-matched	17000	18000	100	2.654241519182801
dense-flop-matched	18000	19000	100	2.1738055859463596
dense-flop-matched	19000	20000	100	2.0863900921348124
dense-flop-matched	20000	21000	100	2.141232061315166
dense-flop-matched	21000	22000	100	2.037609267682505
dense-flop-matched	22000	23000	100	2.180229802791063
dense-flop-matched	23000	24000	100	2.080075330160085
dense-flop-matched	24000	25000	100	2.044181823821574
moe-k4	0	1000	100	4.824606491540049
moe-k4	1000	2000	100	3.6460577832031538
moe-k4	2000	3000	100	3.4496472441543773
moe-k4	3000	4000	100	3.2877691357437273
moe-k4	4000	5000	100	3.254199453842117
moe-k4	5000	6000	100	3.219672686824758
moe-k4	6000	7000	100	3.1840803436080423
moe-k4	7000	8000	100	3.159695831037231
moe-k4	8000	9000	100	3.0461815287282437
moe-k4	9000	10000	100	3.1536164497590438
moe-k4	10000	11000	100	3.1086116826492303
moe-k4	11000	12000	100	3.125725849323345
moe-k4	12000	13000	100	3.1115766890679573
moe-k4	13000	14000	100	3.110185383614673
moe-k4	14000	15000	100	3.087276451908142
moe-k4	15000	16000	100	3.1575996369624493
moe-k4	16000	17000	100	3.1270531210880055
moe-k4	17000	18000	100	3.0205043793925004
moe-k4	18000	19000	100	2.5033459684389117
moe-k4	19000	20000	100	2.4068195933603285
moe-k4	20000	21000	100	2.4536038822782045
moe-k4	21000	22000	100	2.3566156691752873
moe-k4	22000	23000	100	2.484064630160953
moe-k4	23000	24000	100	2.4119851005928936
moe-k4	24000	25000	100	2.37910163861608
moe-k8	0	1000	100	4.820188484497981
moe-k8	1000	2000	100	3.6423307254474024
moe-k8	2000	3000	100	3.445781763136125
moe-k8	3000	4000	100	3.287470964792548
moe-k8	4000	5000	100	3.2560712382114314
moe-k8	5000	6000	100	3.2184367858254266
moe-k8	6000	7000	100	3.1874572484324437
moe-k8	7000	8000	100	3.1679141690080668
moe-k8	8000	9000	100	3.043596349911569
moe-k8	9000	10000	100	3.147761294000632
moe-k8	10000	11000	100	3.10797144952405
moe-k8	11000	12000	100	3.125079037425718
moe-k8	12000	13000	100	3.1105819843089115
moe-k8	13000	14000	100	3.106244251873223
moe-k8	14000	15000	100	3.0962969098288906
moe-k8	15000	16000	100	3.152407352897055
moe-k8	16000	17000	100	3.1294793314114733
moe-k8	17000	18000	100	3.0208965802236847
moe-k8	18000	19000	100	2.4906768903046554
moe-k8	19000	20000	100	2.4081142153065604
moe-k8	20000	21000	100	2.4542666725009408
moe-k8	21000	22000	100	2.357714469204407
moe-k8	22000	23000	100	2.4827907710478945
moe-k8	23000	24000	100	2.4070153328667434
moe-k8	24000	25000	100	2.3668262204658483
random-depth	0	1000	100	4.868328391404391
random-depth	1000	2000	100	3.6559488866888152
random-depth	2000	3000	100	3.451773345796893
random-depth	3000	4000	100	3.2873626691039295
random-depth	4000	5000	100	3.252646046249999
random-depth	5000	6000	100	3.215242377851899
random-depth	6000	7000	100	3.1801389772541553
random-depth	7000	8000	100	3.1610820949439065
random-depth	8000	9000	100	3.0363711285015693
random-depth	9000	10000	100	3.1458872855410176
random-depth	10000	11000	100	3.1007165132997017
random-depth	11000	12000	100	3.1067043822645966
random-depth	12000	13000	100	3.096936161051918
random-depth	13000	14000	100	3.1550933358942364
random-depth	14000	15000	100	3.131648833780436
random-depth	15000	16000	100	3.1577896288190903
random-depth	16000	17000	100	3.1162572582393704
random-depth	17000	18000	100	3.008628994701881
random-depth	18000	19000	100	2.5025189331853044
random-depth	19000	20000	100	2.4197497730361874
random-depth	20000	21000	100	2.4767365132064914
random-depth	21000	22000	100	2.364762951229202
random-depth	22000	23000	100	2.510807888664601
random-depth	23000	24000	100	2.4305668606800634
random-depth	24000	25000	100	2.391170664372584
